age,semester,favorite_subject,programming_skill,career_interest,skills_text,target_career,career_demand,technical_score,communication_score,problem_solving_score,creativity_score,leadership_score
27,Graduate,Chemistry,None,Psychologist,"Patient Counseling, Attention to Detail, Dosage Calculation, Drug Interactions, Pharmacology, Teamwork, Organic Chemistry, Problem Solving",Pharmacist,Stable,78,68,73,60,66
21,2nd Semester,Computer Science,Intermediate,Cybersecurity Analyst,"Python, Incident Response, Critical Thinking, Penetration Testing, Firewalls, Ethical Hacking, Wireshark, Problem Solving",Cybersecurity Analyst,High Demand,94,74,84,64,58
25,Graduate,Artificial Intelligence,Intermediate,AI Engineer,"Neural Networks, Algorithms, Calculus, TensorFlow, Deep Learning, Machine Learning",AI Engineer,High Demand,98,68,93,78,62
28,Postgraduate,Computer Science,Intermediate,Cloud Engineer,"Networking, Critical Thinking, Terraform, Azure, Docker",Cloud Engineer,High Demand,96,66,89,61,56
27,Graduate,Economics,None,IAS Officer,"Critical Thinking, Decision Making, General Studies, Crisis Management, Policy Formulation, Public Administration, Problem Solving",IAS Officer,Stable,78,88,91,57,92
26,Graduate,Design,Beginner,Graphic Designer,"Visual Identity, Layout Design, Time Management, Illustrator, Creativity, Problem Solving",Graphic Designer,Trending,79,81,72,99,62
27,Graduate,Engineering,Beginner,Aerospace Engineer,"Aerodynamics, CAD Modeling, Flight Simulation, Avionics, Propulsion Systems, Structural Analysis",Aerospace Engineer,Emerging,95,73,91,65,75
26,8th Semester,Artificial Intelligence,Intermediate,Robotics Engineer,"Sensors & Actuators, Python, Computer Vision, ROS, Adaptability, Teamwork, C++, Control Systems",Robotics Engineer,High Demand,95,61,91,77,74
19,7th Semester,Chemistry,None,Teacher,"Patient Counseling, Communication, Attention to Detail, Dosage Calculation, Drug Interactions, Organic Chemistry, Creativity, Quality Control",Pharmacist,Stable,75,76,87,65,67
23,Postgraduate,Engineering,Beginner,Biomedical Engineer,"Python, Materials Science, Signal Processing, Biology, Biomechanics, Prosthetics",Biomedical Engineer,Trending,83,69,89,75,62
26,7th Semester,Economics,Intermediate,IAS Officer,"Creativity, Governance, General Studies, Time Management, Policy Formulation, Public Administration, Public Communication",IAS Officer,Stable,77,99,88,72,88
17,10th,Finance,Intermediate,Investment Banker,"Excel Mastery, Taxation, Financial Reporting, Attention to Detail, Time Management",Chartered Accountant,Stable,91,75,92,55,75
27,Graduate,Engineering,Advanced,DevOps Engineer,"Python, Jenkins, GitLab CI, Docker, Linux Bash, Infrastructure as Code, Problem Solving",DevOps Engineer,High Demand,99,65,85,67,72
19,3rd Semester,Chemistry,None,Doctor,"Time Management, Child Psychology, Lesson Planning, Empathy",Teacher,Stable,74,91,87,79,81
18,12th,Computer Science,Intermediate,Entrepreneur,"Leadership, Business Model Generation, Risk Management, Sales & Marketing, Growth Strategy, Resilience",Entrepreneur,Emerging,81,92,91,87,89
19,2nd Semester,Business Studies,Beginner,AI Engineer,"Communication, Tableau, Process Mapping, Agile/Scrum, Adaptability, Requirements Gathering",Business Analyst,High Demand,77,90,83,67,73
26,Postgraduate,Chemistry,None,Chef,"Sensory Evaluation, Time Management, Culinary Techniques, Food Safety, Menu Engineering, Creativity",Chef,Trending,80,76,78,99,76
25,7th Semester,Business Studies,Beginner,Product Manager,"Roadmap Planning, Agile, Leadership, Product Vision, Market Strategy",Product Manager,Trending,78,96,94,79,89
23,Graduate,Computer Science,Intermediate,Business Analyst,"Business Strategy, Tableau, Communication, Time Management, Process Mapping, Stakeholder Management, Data Analytics",Business Analyst,High Demand,84,81,93,72,68
17,1st Semester,Engineering,Beginner,Software Developer,"Python, Algorithms, REST APIs",Software Developer,High Demand,81,67,96,64,60
17,1st Semester,Data Science,Intermediate,Data Scientist,"Python, Critical Thinking, Tableau, Analytical Thinking, Statistics, Creativity, Machine Learning",Data Scientist,High Demand,98,77,93,75,62
18,1st Semester,Cybersecurity,Advanced,Cybersecurity Analyst,"Python, Linux, Incident Response, Communication, Network Security, Ethical Hacking, Cryptography",Cybersecurity Analyst,High Demand,99,60,91,63,65
28,Graduate,Physics,Beginner,Professor,"Public Speaking, Time Management, Pedagogy, Mentorship",Professor,Stable,90,92,88,76,79
28,8th Semester,Medical Science,None,Psychologist,"Critical Thinking, Emergency Response, Physiology, Teamwork, Clinical Diagnosis",Doctor,High Demand,81,88,91,61,88
20,7th Semester,Engineering,Advanced,Cloud Engineer,"Python, Linux, Azure, System Architecture, CI/CD",Cloud Engineer,High Demand,97,61,85,63,60
27,Graduate,Medical Science,Beginner,Teacher,"Hygiene Standards, Manual Dexterity, Oral Surgery, Patient Communication, Diagnostics, Empathy",Dentist,Stable,90,85,92,82,73
20,6th Semester,Computer Science,Expert,Data Scientist,"Python, Pandas, SQL, Scikit-Learn, Adaptability, Statistics, Teamwork, Machine Learning",Data Scientist,High Demand,97,75,98,67,69
28,Graduate,Physics,Beginner,Aerospace Engineer,"Avionics, Aerodynamics, CAD Modeling",Aerospace Engineer,Emerging,92,68,95,76,66
23,7th Semester,Physics,Advanced,Civil Engineer,"Time Management, Project Planning, Surveying, Geotechnical Engineering, Problem Solving, Structural Analysis",Civil Engineer,Stable,93,69,83,61,81
22,8th Semester,Mathematics,Beginner,Full-Stack Developer,"Time Management, Site Inspection, Construction Management, Structural Analysis",Civil Engineer,Stable,84,71,90,71,67
20,8th Semester,Animation,None,Animator,"Character Animation, Texturing, 3D Modeling, Maya, Teamwork, Creativity",Animator,Emerging,79,74,75,99,71
21,4th Semester,Biology,Beginner,Doctor,"Critical Thinking, Pharmacology, Adaptability, Medical Ethics, Physiology, Empathy",Doctor,High Demand,85,91,93,66,74
28,Postgraduate,Psychology,Beginner,Lawyer,"Negotiation, Critical Thinking, Constitutional Law, Public Speaking, Argumentation",Lawyer,Stable,72,98,98,78,81
21,6th Semester,Computer Science,None,Entrepreneur,"Communication, Leadership, Business Model Generation, Risk Management",Entrepreneur,Emerging,74,96,86,87,95
25,Postgraduate,Engineering,Intermediate,Electrical Engineer,"Signal Processing, Critical Thinking, Embedded Systems, Microcontrollers, Power Systems",Electrical Engineer,High Demand,95,70,89,76,78
25,Graduate,Commerce,None,Digital Marketer,"Content Strategy, Copywriting, Social Media Marketing, Google Analytics",Digital Marketer,High Demand,78,86,76,90,82
28,Graduate,Cybersecurity,Expert,Cybersecurity Analyst,"Python, Linux, Firewalls, Network Security, Cryptography",Cybersecurity Analyst,High Demand,99,72,91,68,70
20,2nd Semester,Biology,None,Dentist,"Hygiene Standards, Critical Thinking, Time Management, Manual Dexterity, Oral Surgery, Dental Anatomy, Diagnostics",Dentist,Stable,73,80,92,62,68
22,3rd Semester,Engineering,Intermediate,Mobile App Developer,"Flutter, Git, Swift",Mobile App Developer,Trending,92,70,82,78,70
23,Postgraduate,Computer Science,Beginner,Software Developer,"Python, Git, Java, Problem Solving, C++, Object-Oriented Programming",Software Developer,High Demand,85,67,90,68,53
24,8th Semester,Computer Science,Advanced,Cloud Engineer,"Networking, Critical Thinking, Terraform, Docker, Problem Solving",Cloud Engineer,High Demand,99,61,81,61,50
19,Diploma,Engineering,Beginner,Biomedical Engineer,"Signal Processing, Biology, Biomechanics, Teamwork, Creativity",Biomedical Engineer,Trending,81,65,81,72,80
22,6th Semester,Mathematics,Intermediate,Investment Banker,"Excel, Valuation, Market Research, Financial Modeling, M&A Analysis",Investment Banker,High Demand,92,78,95,69,95
21,3rd Semester,Psychology,None,UI/UX Designer,"Design Thinking, Adaptability, User Research, Problem Solving, Prototyping, Interaction Design",UI/UX Designer,High Demand,75,96,84,94,74
26,Postgraduate,Physics,Advanced,Pilot,"Communication, Aircraft Systems, Problem Solving, Emergency Procedures, Radio Communication",Pilot,Trending,99,87,97,57,87
17,1st Semester,Mathematics,Intermediate,Astrophysicist,"Cosmology, Astronomical Observation, Astrophysics, Numerical Simulation, Data Modeling",Astrophysicist,Emerging,96,73,88,72,63
23,7th Semester,Biology,Intermediate,Dentist,"Hygiene Standards, Manual Dexterity, Teamwork, Patient Communication, Dental Anatomy, Problem Solving, Diagnostics, Empathy",Dentist,Stable,97,90,88,68,72
22,8th Semester,Computer Science,Advanced,Mobile App Developer,"Flutter, Git, REST APIs",Mobile App Developer,Trending,83,64,81,75,65
23,7th Semester,Physics,Intermediate,Astrophysicist,"Astronomical Observation, Astrophysics, Quantum Mechanics, Calculus, Data Modeling",Astrophysicist,Emerging,96,70,95,78,74
24,Graduate,Law,Beginner,Lawyer,"Negotiation, Constitutional Law, Critical Thinking",Lawyer,Stable,73,99,90,72,91
22,6th Semester,Education,Beginner,Pilot,"Public Speaking, Mentorship, Pedagogy, Academic Lecturing",Professor,Stable,81,95,88,78,82
28,Graduate,Chemistry,None,Pharmacist,"Patient Counseling, Communication, Drug Interactions, Organic Chemistry, Problem Solving",Pharmacist,Stable,83,62,81,64,67
18,10th,Mathematics,Intermediate,Financial Analyst,"Hypothesis Testing, Laboratory Techniques, Data Analysis, Critical Analysis, Scientific Research",Research Scientist,Stable,93,78,90,78,78
17,12th,Mathematics,None,Professor,"Creativity, Scientific Publication, Pedagogy, Curriculum Development",Professor,Stable,79,88,89,78,78
26,8th Semester,Engineering,Advanced,UI/UX Designer,"Python, Linux, Firewalls, Network Security, Ethical Hacking, Creativity",Cybersecurity Analyst,High Demand,99,71,90,64,61
26,8th Semester,Engineering,None,Product Designer,"User Empathy, Time Management, Customer Research, Product Strategy, Iterative Design, Prototyping",Product Designer,High Demand,76,87,78,94,73
17,1st Semester,Mathematics,None,Mechanical Engineer,"Research Methodology, Mentorship, Public Speaking, Scientific Publication, Pedagogy, Curriculum Development",Professor,Stable,78,94,91,67,79
27,Graduate,Medical Science,None,Doctor,"Critical Thinking, Pharmacology, Physiology, Emergency Response, Anatomy, Empathy",Doctor,High Demand,83,90,90,59,75
19,2nd Semester,Mathematics,None,Pilot,"High Focus, Aircraft Systems, Spatial Awareness, Meteorology, Emergency Procedures, Radio Communication",Pilot,Trending,76,88,93,50,80
25,Postgraduate,Computer Science,Intermediate,Cybersecurity Analyst,"Git, JavaScript, Time Management, REST APIs, Creativity, Express",Full-Stack Developer,High Demand,98,68,80,89,60
19,6th Semester,Economics,Advanced,Chartered Accountant,"Financial Reporting, Attention to Detail, Corporate Law, Financial Accounting, Creativity, Auditing",Chartered Accountant,Stable,98,76,95,61,78
18,12th,Computer Science,Intermediate,Product Manager,"Cross-Functional Coordination, Agile, Communication, Roadmap Planning",Product Manager,Trending,88,79,87,84,90
20,5th Semester,Computer Science,Beginner,Professor,"Critical Thinking, Mentorship, Academic Lecturing, Public Speaking, Time Management, Curriculum Development",Professor,Stable,87,96,85,81,86
21,Diploma,Computer Science,Expert,DevOps Engineer,"Python, Monitoring, Docker",DevOps Engineer,High Demand,99,62,85,59,64
20,Diploma,Computer Science,Beginner,UI/UX Designer,"User Research, Usability Testing, Visual Hierarchy, Communication",UI/UX Designer,High Demand,81,83,79,87,72
18,10th,Design,Advanced,UI/UX Designer,"Prototyping, Design Thinking, Communication, Visual Hierarchy, Figma, Interaction Design",UI/UX Designer,High Demand,85,81,80,92,63
21,3rd Semester,Law,None,Journalist,"Storytelling, Investigative Reporting, Interviewing",Journalist,Stable,66,94,85,85,71
18,1st Semester,Engineering,Intermediate,Biomedical Engineer,"Materials Science, Python, CAD Design, Biology, Biomechanics",Biomedical Engineer,Trending,99,68,86,66,71
22,Diploma,Computer Science,Intermediate,Cybersecurity Analyst,"Linux, Communication, Firewalls, Adaptability, Network Security, Wireshark, Cryptography",Cybersecurity Analyst,High Demand,92,66,86,59,52
25,Graduate,Biology,Intermediate,Pharmacist,"Patient Counseling, Drug Interactions, Pharmacology, Adaptability, Organic Chemistry, Quality Control",Pharmacist,Stable,87,74,78,62,60
21,4th Semester,Engineering,Advanced,Mobile App Developer,"Android Studio, Git, REST APIs, UI/UX, Swift",Mobile App Developer,Trending,97,67,87,85,64
23,Postgraduate,Business Studies,Intermediate,Graphic Designer,"Iterative Design, Customer Research, Figma, Industrial Design, Prototyping",Product Designer,High Demand,84,80,83,88,76
28,7th Semester,Design,None,Product Designer,"User Empathy, Communication, Customer Research, Product Strategy, Problem Solving, Iterative Design",Product Designer,High Demand,80,90,87,99,68
24,8th Semester,Physics,Intermediate,Astrophysicist,"Cosmology, Python, Critical Thinking, Quantum Mechanics, Calculus, Teamwork, Numerical Simulation, Data Modeling",Astrophysicist,Emerging,98,58,94,80,68
23,7th Semester,Mathematics,Beginner,Astrophysicist,"Cosmology, Python, Time Management, Quantum Mechanics, Calculus, Teamwork, Numerical Simulation, Astrophysics",Astrophysicist,Emerging,85,67,86,71,67
28,7th Semester,Engineering,Intermediate,DevOps Engineer,"Python, Cloud Security, Monitoring, Docker, Linux Bash, Kubernetes",DevOps Engineer,High Demand,94,72,84,56,55
26,8th Semester,Business Studies,None,Product Designer,"User Empathy, Critical Thinking, Time Management, Customer Research, Iterative Design",Product Designer,High Demand,73,78,83,86,80
27,7th Semester,Psychology,None,Lawyer,"Critical Thinking, Communication, Public Speaking, Constitutional Law, Legal Research, Creativity, Courtroom Advocacy",Lawyer,Stable,69,93,96,63,81
25,8th Semester,Commerce,None,Financial Analyst,"Financial Statement Analysis, Forecasting, Critical Thinking, Python for Finance, Market Research, PowerBI",Financial Analyst,Trending,73,74,89,63,66
19,2nd Semester,Engineering,Advanced,Electrical Engineer,"Embedded Systems, MATLAB, Circuit Design",Electrical Engineer,High Demand,96,64,87,74,65
22,6th Semester,Psychology,None,UI/UX Designer,"Negotiation, Critical Thinking, Contract Drafting, Public Speaking, Legal Research",Lawyer,Stable,72,99,90,71,78
24,7th Semester,Medical Science,None,Doctor,"Pharmacology, Medical Ethics, Patient Care, Anatomy, Clinical Diagnosis",Doctor,High Demand,84,95,88,61,71
24,Postgraduate,Physics,Intermediate,Product Designer,"Python, ROS, Adaptability, C++, Kinematics",Robotics Engineer,High Demand,98,72,88,84,70
17,12th,Computer Science,Beginner,Product Manager,"Metrics & KPIs, Leadership, Product Vision, User Research",Product Manager,Trending,77,99,93,74,99
25,Postgraduate,Engineering,Intermediate,Biomedical Engineer,"Python, Materials Science, CAD Design, Creativity",Biomedical Engineer,Trending,91,78,82,86,71
27,8th Semester,Mathematics,None,Professor,"Scientific Publication, Pedagogy, Curriculum Development",Professor,Stable,79,85,81,82,90
26,7th Semester,Commerce,None,Chartered Accountant,"Attention to Detail, Corporate Law, Excel Mastery, Financial Accounting",Chartered Accountant,Stable,86,89,96,51,78
21,8th Semester,Commerce,Beginner,Investment Banker,"Capital Markets, Critical Thinking, Adaptability, Financial Modeling, M&A Analysis",Investment Banker,High Demand,94,85,88,63,76
28,Postgraduate,Animation,Beginner,Graphic Designer,"Layout Design, Visual Identity, Creativity, Color Theory",Graphic Designer,Trending,80,76,72,94,57
25,7th Semester,Computer Science,Intermediate,Cybersecurity Analyst,"Python, Neural Networks, Linear Algebra, Algorithms, Teamwork",AI Engineer,High Demand,99,74,86,89,61
21,7th Semester,Physics,None,Civil Engineer,"Communication, Site Inspection, Project Planning, Creativity, Geotechnical Engineering",Civil Engineer,Stable,87,75,91,70,86
28,Postgraduate,Education,None,Professor,"Research Methodology, Mentorship, Academic Lecturing, Scientific Publication, Time Management, Adaptability, Pedagogy, Curriculum Development",Professor,Stable,83,88,93,76,82
27,8th Semester,Computer Science,Advanced,DevOps Engineer,"Python, Jenkins, Time Management, Monitoring, Linux Bash, Infrastructure as Code, Kubernetes",DevOps Engineer,High Demand,98,67,87,60,61
25,8th Semester,Law,Beginner,IAS Officer,"Decision Making, Communication, General Studies, Leadership, Policy Formulation",IAS Officer,Stable,78,97,96,69,94
28,Graduate,Physics,Beginner,Dentist,"Hypothesis Testing, Academic Writing, Data Analysis, Critical Analysis, Statistics, Teamwork, Scientific Research",Research Scientist,Stable,90,76,92,73,63
27,Postgraduate,Economics,Intermediate,Product Manager,"Agile, Adaptability, Metrics & KPIs, Leadership, Product Vision, User Research, Creativity, Market Strategy",Product Manager,Trending,87,86,88,69,90
24,7th Semester,Computer Science,Beginner,Mobile App Developer,"Android Studio, Git, Time Management, REST APIs, Kotlin, Mobile Architecture, Flutter",Mobile App Developer,Trending,86,67,86,74,64
27,Graduate,Psychology,None,Lawyer,"Negotiation, Critical Thinking, Public Speaking, Legal Research, Courtroom Advocacy, Argumentation",Lawyer,Stable,69,99,86,76,91
22,6th Semester,Mathematics,Intermediate,Teacher,"Lesson Planning, Communication, Adaptability, Patience, Child Psychology, Student Evaluation, Creativity, Classroom Management",Teacher,Stable,81,86,82,80,74
17,12th,Economics,Intermediate,Chartered Accountant,"Excel Mastery, Financial Analysis, Attention to Detail, Adaptability, Corporate Law, Financial Accounting, Creativity",Chartered Accountant,Stable,90,74,93,56,66
19,3rd Semester,Engineering,Intermediate,Entrepreneur,"Sensors & Actuators, Python, ROS, Adaptability, Problem Solving, Mechatronics, C++, Kinematics",Robotics Engineer,High Demand,90,68,87,77,71
24,Postgraduate,Computer Science,Expert,Cloud Engineer,"Communication, AWS, Terraform, Docker, System Architecture, CI/CD",Cloud Engineer,High Demand,99,70,93,65,69
19,Diploma,Biology,None,Teacher,"Time Management, Mental Health Assessment, Research Methods, Ethics, Counseling, Cognitive Behavioral Therapy, Teamwork, Empathy",Psychologist,High Demand,71,89,80,79,80
27,7th Semester,Physics,Beginner,Pilot,"High Focus, Aircraft Systems, Time Management, Creativity, Emergency Procedures",Pilot,Trending,95,79,91,60,87
18,1st Semester,Computer Science,Beginner,Software Developer,"Python, REST APIs, Algorithms, Problem Solving, Object-Oriented Programming",Software Developer,High Demand,88,70,87,69,61
21,6th Semester,Mathematics,None,Research Scientist,"Hypothesis Testing, Statistics, Data Analysis",Research Scientist,Stable,89,74,94,87,66
25,8th Semester,Mathematics,Advanced,AI Engineer,"Python, Critical Thinking, NLP, Calculus, Problem Solving, Deep Learning, PyTorch, Machine Learning",AI Engineer,High Demand,99,71,88,84,73
26,Postgraduate,Economics,None,Chartered Accountant,"Attention to Detail, Corporate Law, Financial Analysis",Chartered Accountant,Stable,88,69,88,63,62
19,4th Semester,Physics,Beginner,Teacher,"Classroom Management, Child Psychology, Communication, Empathy",Teacher,Stable,72,99,84,72,84
25,Graduate,Engineering,Beginner,Data Scientist,"Signal Processing, Critical Thinking, Circuit Design, MATLAB, Embedded Systems, Microcontrollers, Power Systems",Electrical Engineer,High Demand,88,50,91,70,73
19,6th Semester,Mathematics,Expert,Data Scientist,"Python, Tableau, Analytical Thinking, Statistics, R, Teamwork, Machine Learning",Data Scientist,High Demand,99,73,88,66,57
25,8th Semester,Economics,None,Entrepreneur,"Resilience, Leadership, Business Model Generation",Entrepreneur,Emerging,80,98,94,93,96
24,8th Semester,Engineering,Advanced,Product Manager,"User Empathy, Iterative Design, Adaptability, Figma",Product Designer,High Demand,89,82,78,95,73
20,5th Semester,Physics,Advanced,Electrical Engineer,"Communication, Circuit Design, MATLAB, Teamwork, Embedded Systems",Electrical Engineer,High Demand,97,69,82,73,83
27,Graduate,Chemistry,None,Pharmacist,"Patient Counseling, Critical Thinking, Attention to Detail, Dosage Calculation, Drug Interactions, Pharmacology, Quality Control",Pharmacist,Stable,80,80,77,54,63
17,10th,Engineering,Advanced,Robotics Engineer,"SQL, JavaScript, MongoDB, Express, Node.js",Full-Stack Developer,High Demand,97,70,83,74,60
23,Postgraduate,Mathematics,None,Electrical Engineer,"Signal Processing, Critical Thinking, Creativity, Microcontrollers, Power Systems",Electrical Engineer,High Demand,82,67,90,78,65
19,7th Semester,Biology,Advanced,Biomedical Engineer,"Materials Science, Communication, Medical Devices, Biomechanics, Problem Solving",Biomedical Engineer,Trending,99,70,96,77,66
19,3rd Semester,Computer Science,Beginner,UI/UX Designer,"Time Management, Design Systems, Prototyping, Interaction Design",UI/UX Designer,High Demand,85,76,78,98,65
22,7th Semester,Design,None,UI/UX Designer,"Usability Testing, Design Systems, User Research, Figma",UI/UX Designer,High Demand,71,82,78,91,72
